コード,銘柄名,市場・商品区分,33業種区分,規模区分
9381,エーアイテイー,東証1部,倉庫・運輸関連業,TOPIX Small 2
9384,内外トランスライン,東証1部,倉庫・運輸関連業,TOPIX Small 2
9385,ショーエイコーポレーション,東証1部,化学,TOPIX Small 2
9386,日本コンセプト,東証1部,倉庫・運輸関連業,TOPIX Small 2
9401,ＴＢＳホールディングス,東証1部,情報・通信業,TOPIX Mid400
9404,日本テレビホールディングス,東証1部,情報・通信業,TOPIX Mid400
9405,朝日放送グループホールディングス,東証1部,情報・通信業,TOPIX Small 2
9408,新潟放送,JASDAQ,情報・通信業,-
9409,テレビ朝日ホールディングス,東証1部,情報・通信業,TOPIX Mid400
9412,スカパーＪＳＡＴホールディングス,東証1部,情報・通信業,TOPIX Small 1
9413,テレビ東京ホールディングス,東証1部,情報・通信業,TOPIX Small 2
9414,日本ＢＳ放送,東証1部,情報・通信業,TOPIX Small 2
9416,ビジョン,東証1部,情報・通信業,TOPIX Small 1
9417,スマートバリュー,東証1部,情報・通信業,TOPIX Small 2
9418,ＵＳＥＮ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東証1部,情報・通信業,TOPIX Small 1
9419,ワイヤレスゲート,東証1部,情報・通信業,TOPIX Small 2
9421,エヌジェイホールディングス,JASDAQ,情報・通信業,-
9422,コネクシオ,東証1部,情報・通信業,TOPIX Small 2
9423,フォーバル・リアルストレート,JASDAQ,情報・通信業,-
9424,日本通信,東証1部,情報・通信業,TOPIX Small 1
9425,日本テレホン,JASDAQ,情報・通信業,-
9428,クロップス,東証1部,情報・通信業,TOPIX Small 2
9432,日本電信電話,東証1部,情報・通信業,TOPIX Core30
9433,ＫＤＤＩ,東証1部,情報・通信業,TOPIX Core30
9434,ソフトバンク,東証1部,情報・通信業,TOPIX Large70
9435,光通信,東証1部,情報・通信業,TOPIX Mid400
9436,沖縄セルラー電話,JASDAQ,情報・通信業,-
9438,エムティーアイ,東証1部,情報・通信業,TOPIX Small 2
9439,エム・エイチ・グループ,JASDAQ,サービス業,-
9441,ベルパーク,JASDAQ,情報・通信業,-
9444,トーシンホールディングス,JASDAQ,情報・通信業,-
9445,フォーバルテレコム,東証2部,情報・通信業,-
9446,サカイホールディングス,JASDAQ,情報・通信業,-
9449,ＧＭＯインターネット,東証1部,情報・通信業,TOPIX Mid400
9450,ファイバーゲート,東証1部,情報・通信業,TOPIX Small 2
9466,アイドママーケティングコミュニケーション,東証1部,情報・通信業,TOPIX Small 2
9467,アルファポリス,マザーズ,情報・通信業,-
9468,ＫＡＤＯＫＡＷＡ,東証1部,情報・通信業,TOPIX Mid400
9470,学研ホールディングス,東証1部,情報・通信業,TOPIX Small 1
9474,ゼンリン,東証1部,情報・通信業,TOPIX Small 1
9475,昭文社ホールディングス,東証1部,情報・通信業,TOPIX Small 2
9476,中央経済社ホールディングス,JASDAQ,情報・通信業,-
9478,ＳＥホールディングス・アンド・インキュベーションズ,JASDAQ,情報・通信業,-
9479,インプレスホールディングス,東証1部,情報・通信業,TOPIX Small 2
9501,東京電力ホールディングス,東証1部,電気・ガス業,TOPIX Mid400
9502,中部電力,東証1部,電気・ガス業,TOPIX Mid400
9503,関西電力,東証1部,電気・ガス業,TOPIX Mid400
